Answer,Enumeration,Clue,Grid Number
TACOS,5,Had (on Tuesday) to start calculating interior angles,9
ICIER,5,"More exciting to expunge unjust core, or more unwelcoming?",9
ZEALOT,6,Radical hidden craze a lottery,9
CHITIN,6,Character can put on armour to fly,9
CRUSTS,6,Films corruption in every other case,9
ICARUS,6,"Found in panic, a Russian high-flyer",9
ITSELF,5,One lift in case of 'termination per se',9
ROILED,6,"Disturbed at lunch counter, or taken aback",9
CLIENT,6,Customer's claim introduced on empty convent,9
KEYNES,6,"Setter's clue for NEXUS: 'Crossroad, four exits'",9
TAXICAB,7,Carrier charge: 99 per byte,9
ACHIEVE,7,Manage a hundred greetings at dusk,9
STEEPLE,7,Sleepiest suspect is left in a tower,9
OCCLUDE,7,Block on ground Anne left unconcealed,9
QUININE,7,Who in Strasbourg says no to German medicine?,9
PFENNIG,7,Last elf in jail says demon left a bit of a mark,9
HERETIC,7,Pagan man left nuclear test site and began crying,9
WRECKAGES,9,Salary covers about a hundred thousand in damages,9
TAROTCARD,"5,4",Some grab rotten carrot used to predict the future,9
ENCLOSURE,9,Conclusion: follow alternate means to obtain asylum,9
ISOTROPIC,9,One drunk bird had more than three and can't tell which way it's facing,9
SONG,4,"Lay in China, once",10
BEAK,4,Bill is to act as a king,10
XRAY,1-3,Light one after whiskey?,10
XBOX,4,Console staff between kisses,10
HOLY,4,Righteous are all on the radio,10
ZEAL,4,Alfonze also showing diligence,10
IOTA,4,Atom Bishop spurns local ecology,10
KNOX,4,Aims an arrow to dictator's fort,10
AURA,4,Stalin left Australian atmosphere,10
VIEW,4,Compete with leader as a spectacle,10
CURD,4,Preserved bar English used to make cheese,10
UNIV,4,"French one at fourth Oxford college, briefly",10
OVOID,5,0-0 in ring,10
RADON,5,"DNA, or swirling gas",10
WAVER,5,Women claim to hesitate,10
JEWEL,5,Overhear fight for an ornament,10
MASON,5,"Fellow has partner, a craftsman",10
YEAST,5,Poet makes time later for fungus,10
GOULD,5,Biologist you adorned in precious metal,10
EFFED,5,Did something impossible to the ineffable,10
PROWLS,6,"Sneaks, or ""propaganda birds""",10
QUARTZ,6,"Several pints, say, of a mineral",10
SUNDRY,6,Preserve fruits of various kinds,10
FALLOW,6,Performing loud support for the idle,10
TUNDRA,6,I leave unitard abandoned in wasteland,10
DEJURE,"2,4",Jude reformed religious education legally,10
LEMURS,6,The French leaders made us risk saving monkeys,10
NOBODY,6,"Take middle from bloody-minded, drunk person of no importance",10
APR,3,Capricorn partly in short month,11
BOB,3,Your uncle starts book on birds?,11
ALL,3,Everything's a bit of a challenge,11
OUT,3,Last three of Powell's aren't in?,11
EARTH,5,Art in each empty world,11
PILOT,5,First pot has forty-nine,11
FLORA,5,Plants hidden by Carol fall over,11
ROBOT,5,Hero both concealed and mechanical,11
STANDARDS,9,Etiquette for flags?,11
CARPENTER,9,Tradesman's fish arrive,11
THICKNESS,9,Width of chest inks absurd,11
FARMHOUSE,9,Distant resistance unit left operation building,11
KUALALUMPUR,"5,6",Confuse Laura Plum with UK capital,11
INTERPRETED,11,"Translated for lawless, trendier pet",11
HABERDASHER,11,Drunk shared rehab with textile seller,11
UNFORTUNATE,11,Unlucky French one plays loudly about fish,11
NAAN,4,Either way it's bread?,12
PLEA,4,Appeal from pale lunatic,12
ZULU,4,Not even Zeus' loud Yankee follower?,12
NIKE,4,Beijing once shelled in revolution victory?,12
APART,5,A piece is separate,12
ASKEW,5,Grill we left unbalanced,12
CHIEF,5,Lead cook holding iguana head,12
SEVER,5,Separate prophet harbours five,12
ENROL,7,Register as lost in New Orleans,12
VENAL,5,"Mercenary in north vale, perhaps",12
SCREW,5,Small group of sailors at propeller,12
AMINE,5,Quarry pursues aluminium-lead compound,12
IDYLL,5,Leisure subsidy Llandudno took part in,12
LOCAL,5,Laughs aloud about rough neighbourhood,12
SULKY,5,"Unopened, cumbersome after second is withdrawn",12
KANJI,5,Angelina briefly said to follow king's characters,12
AFIRE,5,Burning anger following a lead character in finale,12
ARENA,5,Extravaganza finally renaming half an amphitheatre,12
HAMLET,6,Old tragedy in village,12
RIGHTO,6,Equipment first has to be OK,12
TORQUE,6,Impostor queen provides leverage,12
NAPKIN,6,Knocked pot over—family to get cloth,12
GREYAREA,"4,4",Quandary in silver quarter,12
DETONATE,8,"Remarked, returned, dined, set off",12
STONEAGE,"5,3","Perform outside, one time without metal",12
TIMEZONE,"4,4",Monetize developed international region,12
INDEXING,8,Find ex in Granada partly making records,12
WHITEHOT,"5,3","Somehow, he (without leaving you) is incandescent",12
TOVARICH,8,Television covers nothing at first on wealthy comrade,12
BRAND-NEW,"5,3","Andrew & Ben: heartless, corrupt and pristine",12
DNA,3,Also set up inheritance,13
ETA,3,H-bar ions from Estonia?,13
IWI,3,Kingless New Zealander kingdom?,13
RUNE,4,Managed Eastern symbol,13
TAXA,4,Populations levy first army,13
EDDY,4,Whirlpool found in flooded dyke,13
TANG,4,Evidence of a blade in mediæval China,13
OUGHT,5,Should we hear anything?,13
ARGOT,5,In vernacular Gothic language,13
TAIGA,5,Some metadata I gathered in forest,13
ILIAD,5,Epic tale of remilitarised triremes lost,13
MAGMA,5,"Good-hearted parent is into rock, eventually",13
NOVAE,5,Stars or nebulae often varying at everything's beginnings,13
DISTILS,7,Refines filleted deli cuts in return,13
AMALGAM,7,Seaweed in a mushroom rind combination,13
BRITONS,7,Celts made liquid brimstone without me,13
VIVALDI,7,Violinist in supermarket after five past six,13
AMBROSIA,8,"From lamb, Rosianne made dessert",13
REVIEWED,8,Looked over landscape covered in grass,13
GAMMARAY,"5,3","In hospital light I am Magyar, somehow?",13
MISCIBLE,8,Stupid imbeciles forget every lead that they can mix up,13
CAVEATEMPTOR,"6,6",Give up a charm or warn a customer,13
CLYTEMNESTRA,6,Calmest entry prepared for prophet-murderer,13
CRITICALMASS,"8,4",Triassic clam stew is just enough to provoke a reaction,13
EVENTHORIZON,"5,7",Fair deity's core citizens active at point of no return,13
ICE,3,Magnum murder?,14
ODE,3,"Lay was short, we hear!",14
TOOL,4,Dick also left?,14
BEND,4,Turn back at first to pack up,14
GETIN,"3,2",First two gentlemen can board,14
KUDOS,5,Unfinished sudoku gets praise,14
MANIAC,6,Madman's obsession with language,14
LOAVES,6,"Bloomers abandoned, lost in Slovenia",14
ABIDING,7,Tolerant bishop helping outside,14
ENSNARL,7,Net somehow learns about knight,14
ONESELF,7,"Alone, stupid felons take drugs",14
ACADEME,7,A round dame set off to university,14
BEDFELLOW,9,Ally fed rum during thunder,14
ARCHANGEL,9,"In car, change lanes like Michael",14
EASTEREGG,"6,3",Annual treat at dawn before good game,14
ESOTERICA,9,Enchantress led drunk to woman's collection of arcana,14
WELLFOUNDED,4-8,"Craft, flown and eluded, can't descend forever!",14
TIKKAMASALA,"5,6","Titanium (2000), a movie, opening with lead actor cutting salad for a chicken dinner",14
TACO,4,Quick meal in the catacombs,15
ACES,4,"As cold (and serene, finally!) as outside?",15
AMOK,4,Frantically agreed to follow advanced methodology,15
KILN,4,Unfinished murder on top of ultimate dragon-fire chamber,15
RULED,5,Decided lines were drawn?,15
OUIJA,5,Board render IOU to extreme junta,15
EKING,5,Dragging out first English monarch,15
EXTOL,5,Praise some ciphertext oligarchies,15
AZTEC,5,"American imprisoned in Alcatraz, technically",15
ALIBI,5,Excuse leaders after larceny & illegal bribery inquest,15
OBLIGE,6,Comply with bind,15
CANYON,6,Deceive about whichever ravine,15
TRIVIAL,7,Irrelevant struggle over central delivery,15
OPTIMAL,7,Best stone bottles—take first one thousand,15
YANGTZE,7,"Chinese ""flower fudge"": tangy with some zest",15
IMPRINT,7,Empty nest under rogue resistance unit's emblem,15
ANTIQUES,8,Quantise arrangement (or collection) of items,15
OUTLYING,8,Devoutly ingratiating characters are provincial,15
FOOTWORK,8,"In part, no leaders of the world are taking steps",15
ODYSSEUS,8,Wandering Greek God decapitated after nameless synods fall apart,15
MICROGRAVITY,12,"Battered, grim victory: a feeling almost like flying?",15
TREASUREHUNT,"8,4","Certain ""barbarian thrill"" about searching for gold, say",15
APPALACHIANS,12,A nonconformist chaplain's shelter for father in the mountains,15
CUE,3,Whispered line!,16
NOR,3,"Neither gate, for example",16
TIN,3,Can I stop returning books?,16
WAR,3,Battle at fortification without the bulk,16
PEAT,4,Quietly corrode fuel,16
QUAY,4,Somewhere to land sounds vital,16
ELDER,5,Sage tree,16
REEVE,5,Old lawman is concerning First Lady,16
ATTIC,5,NATO triptych's prime room at the top,16
CARGO,5,Load last Cadillac before a right turn,16
JEWISH,6,"Like Jesus was in France, I hope",16
AUSTEN,6,Hidden portmanteau: stencil and writer,16
ETHANE,6,"""Macbeth for the Digital Age"", a crude product?",16
OUTFOX,6,"Deceive ""veiled aviatrix"" of Tuóji?ng, flying backwards",16
OILCAN,6,"Transporting 10 {VOLCANIC} across borders, lost means of keeping vehicle running?",16
GNOCCHI,5,Badly coaching a scrub to make pasta,16
GOSHAWK,7,"Something minced—a weak, hollow bird",16
VOLCANIC,8,Very laconic drunk could erupt,16
HAZELNUT,8,"Confusion until I left, possibly to get fruit",16
OMNISCIENT,10,"United Kingdom (NI) scientists, partial to knowing everything",16
QUADRATICS,10,Uncovered equal drastic manœuvres which each have two results,16
ABSOLUTEZERO,12,Rendering a boozer's lute as cool as possible,16
STANDINGWAVE,"8,4","Harmonic music is written here, about dawning realisation",16
BRIM,4,Part of Bergère on edge!,17
IBEX,4,Not the first insult at tenth goat,17
ROAN,4,Starts recollection of a new chestnut,17
GLUM,4,Promulgate extract that is backward and depressing,17
CHEEP,5,Heard vulgar tweet,17
SHAFT,5,Screw over in spades; get a handle on it,17
FOVEA,5,"Everything I can see, each is where I can see it best",17
THIEF,5,"Inside booth, I effectively get someone to manage lift?",17
UNKNOT,6,Separate out the threads of solarpunk notions,17
FOMENT,6,"Provoke a wellspring of mutinous emotion, leaders hidden inside",17
ZURICH,6,City's church empty after leading zealous unbelievers right inside,17
RENEGE,6,"Back off even an English electrical engineer, a source of erratic figures, oddly",17
RAPTURE,7,Put off stopping unusual ecstasy,17
PAPRIKA,7,Dad takes pointless risk to get spice,17
LAMBAST,7,"Rebuke an innocent, a heartless scapegoat",17
MIMICRY,7,Re: Followers clamor for more of the same,17
AMANDINE,8,Liam and I nearly take some dessert,17
APHELION,8,"A pinhole, perhaps, at some point in July",17
HABANERA,8,Dance and laughter before Prohibition years,17
KNEEJERK,8,"Born in France, I first reincarnated in 2000 without thinking",17
GRANDILOQUENT,13,Flowery dress on garden quilt,17
COUNTERSIGNAL,12,Insurgent revolt contained using anthracite to display false weakness,17
AGOG,4,Astonished some demagogues,18
SLOW,4,Strange owls are unintelligent,18
ARIA,4,Piece of music with one reflecting!,18
ACID,4,A hundred and one dalmatians start biting,18
NIGHT,5,Lunatic thing?!,18
KNAVE,5,Villain king stands before great church hall,18
SNATCH,6,"Jerk is small, 'course",18
LETTER,6,Character with property for rent,18
MAKING,6,Forging metal is about being relatable,18
OBSESS,6,"Be fanatically invested in some hearthrobs, essentially",18
TENSION,7,Strain X is over-working,18
MAGNETO,7,Confusing montage of comic villain,18
SCANDAL,7,Embarassment ruins Candlemas without me,18
TANKARD,7,Stein Travel's first attached recording,18
NEMESES,7,Sailors heard around coastal eddies are rivals,18
ELMTREE,"3,4","The ""Spanish metre"": somehow a symbol of Massachusetts",18
UPSTREAM,8,Stupidly puts stack further inland,18
HACIENDA,8,Around a hundred in Spain owned a Spanish estate,18
PROXIMATE,9,Monkey has cow nearby,18
TRANSLATE,9,Odd terrain with rock-slide,18
COUPDETAT,"4,5",Oct update: fractured revolution,18
SPHERICAL,9,"Second-placer Henri, disheartened, spun round",18
MARASCHINO,10,Distil Tamara's Chinook liqueur,18
ADVANTAGES,10,Benefits aforementioned environs and viewpoints,18
LIECHTENSTEIN,13,Land in 51 CE to return then-broken chalice,18
MANDELBROTSET,"10,3",Demon-battlers engineer complicated part of plane?,18
BERMUDATRIANGLE,15,But married bastard to fish in perilous sea,18
UKES,4,Headless nobles like banjos,19
DRAM,4,Some whisky is distilled melodramatically,19
IONIAN,6,Sea Major?,19
ARTHUR,6,A Roundhead hurt awful king,19
TETHER,6,Band takes first painkiller,19
MERMAN,6,Sea creature married topless Jerry,19
MINUET,6,Very little time later for a dance,19
TIMBRE,6,Quality hollow toque has ragged brim,19
SIMPLE,6,Straightforward solutions I'm pleased to provide,19
MAKEOUT,7,Manage to see kiss,19
CHARIOT,7,Rig the Boston Tea Party?,19
PICCOLO,7,Choose a crude-sounding instrument,19
GAMETES,7,"Wild animals lay round eggs, for example",19
MADRIGAL,8,Grail's cryptic song?,19
DOCTRINE,8,Confusing centroid axiom,19
PLATINUM,8,Metal fruit has a metal core,19
OSTINATO,8,"Drone on, first about station",19
SOPRANOS,8,Musicians who like to get high,19
EDUCATES,8,English gold coin is in Spanish schools,19
OPERETTA,8,Drama as arms manufacturer's bishop lost substitute job,19
RESONANCE,9,"Onscreen, a strange echo",19
CHROMATIC,9,Colourful music with lots of notes,19
PANDORASBOX,"8,3","Leads to pain and natural disasters, opening (rashly) a small container!",19
METAMORPHOSIS,13,Changing room with shipmate's rum,19
WHITECHRISTMAS,"5,9","Berlin song about computers—it's warmish, perhaps",19
REC,3,"Fun suggestion, briefly",20
DUO,3,You attend a party or two,20
SHARD,5,"Small piece, solid!",20
NOTES,5,Rolling Stone's music,20
AORTA,5,Even a poor steam vessel,20
DIANA,5,Hunter of Indian animals,20
OMEGA,5,Homer's last in home game,20
PLATO,5,Unfinished dish of nothing,20
LATER,5,Endless half-hearted praise thereafter,20
LIEGE,5,"Historically, the superior Belgian city",20
MASSE,5,"Shot in billiards room, as secretary suggested",20
ASSAM,5,A 20 {MASSE} revolution: English ceded an Indian state,20
ORDEAL,6,Struggle or cope,20
ALUMNA,6,Postgrad rewrites manual,20
AUTHORS,7,Australian god's pens,20
CHALLAH,7,Bread and tea at lobby counter,20
REBIRTH,7,Renaissance Fair's last people left tophats,20
ELYTRON,7,Easterly diocese not about to host right-wing,20
ABASEMENT,9,Humiliation in a cellar,20
ROALDDAHL,"5,4",Heard wound had up and left,20
TOMCLANCY,"3,6",Cat family extremely cuddly,20
LIGATURES,9,Put out large suit and ties?,20
RHAPSODIC,9,Scatter orchid sap over the moon,20
YTTERBIUM,9,Strange tribute in my reflection,20
STEVENSON,9,Saint aligns with our national leaders,20
POTPOURRI,9,Catholic teachings on the radio are a mixed bag,20
AGATHACHRISTIE,"6,8","Aargh, atheistic bananas!",20
HOLDYOURHORSES,"4,4,6","Like, you told the groom to wait?",20
BARBARACARTLAND,"7,8",Twice forbid a driver to lead realm,20
MORRISONSHELTER,"8,7",Timeless horror: new free protection from the Blitz,20
ZOO,3,Otter space?,21
EAT,3,"Put away, even recant",21
UNDO,4,Disentangle ruin,21
JAYS,4,"Birds follow eyes, reportedly",21
HATS,4,In whatsoever a milliner makes,21
BETA,4,Gambled on a pre-release version,21
PEACE,5,Quiet bit out loud,21
SIXES,5,"Mostly, backwards chauvinist rears?",21
DETER,5,"Put off first deciduous, twisted tree",21
HIPPO,5,"Aboard ship, possibly found in 9 {ZOO}",21
FAZED,5,Thrown off a Kyrgyz plane (and finally!),21
DETOX,5,Quixote dreamt up some way to cure his addictions,21
ELAPSES,7,Moves past English setbacks,21
ANAGRAM,7,Mix up one farm animal with another,21
EMPTIED,7,English politician Drew is evacuated,21
SWIVELS,7,Pivots to abandoned plan (it's wolves),21
SMUGGLE,7,"Pirate's self-satisfied delight, almost",21
MUTANTS,7,"Superheroes' fellow decapitated, eaten by dogs",21
OILDRUM,"3,4",Crude barrel for one getting into vintage alcohol,21
ECONOMY,7,"Company, swimming in money, sorted out resource management",21
OUTRAISED,9,Tuo made more money?,21
ARMOURIES,10,"Magazines' new ""e-rosarium""",21
SPYMASTER,9,"Bond manager, say, sets off messy trap",21
STICKIEST,9,"Saint, most distasteful and most problematic",21
CROISSANT,9,"In France the moon, perhaps, is something to eat",21
CASPIANSEA,"7,3",Fluid Asian space!,21
FACTETIOUS,9,Surface debts aren't genuine,21
TAMBOURINE,10,"Instrument is baritone and um, agitato",21
DISCOURAGE,10,Argue about former-nightclub 23 {DETER},21
BIVOUACKED,10,About 25 {INTRAVENOUS} old union leaders retreated and slept outside,21
MILQUETOAST,11,A snack after a drink sounds weak,21
INTRAVENOUS,11,Wolf-like after skin tints using needles,21
